Term,Definition
"What is the function of the cro repressor in bacteriophage lambda?","Prevents expression from P R and P RM, inhibiting cI repressor and early genes."
"Which life cycle does the cro repressor commit bacteriophage lambda to?","Lytic life cycle"
"What genes does the cro repressor prevent the expression of?","cI repressor, cII, and cIII genes"
"What promoter expressions are inhibited by the cro repressor?","P R and P RM"
"Which operator site has the highest binding affinity for the cro repressor in bacteriophage lambda?","O R 3"
"What is the effect of cro binding to O R 3 and O R 2 on P RM expression?","It prohibits expression from P RM."
"What life cycle does the bacteriophage lambda commit to when P R is exposed and cro expression continues?","Lytic cycle"
"What happens to the expression of cro when P R is exposed?","Continued expression of cro occurs."
"What flanks the prophage in the bacterial chromosome during excision?","Direct repeats (POP’ and BOB’)"
"Which proteins facilitate the recombination event for excision of lambda DNA?","Int, IHF, and Xis"
"What process does the excised genome undergo after excision from the host chromosome?","Intermediate and late gene expression"
"What allows for delayed early gene expression in bacteriophage lambda DNA replication?","Initial levels of cro expression allow for expression from P L and P R."
"What is the role of the pN protein in bacteriophage lambda DNA replication?","The anti-termination activity of pN allows for expression of O, P, and Q gene products."
"Which gene product binds to the lambda DNA origin of replication?","The O gene product binds to the lambda DNA ori."
"What is the function of the P gene product in lambda DNA replication?","The P gene product joins the complex at the ori and facilitates recruitment of DnaB."
"What is the result of host machinery initiating rolling circle replication in bacteriophage lambda?","It results in the production of concatemers, multimeric linear copies of the genome."
"What role does the cro repressor play in bacteriophage lambda gene expression?","cro turns off P L and P R after delayed early expression."
"Which promoter is involved in the synthesis of structural and lytic genes in bacteriophage lambda?","The fifth promoter, P R ́."
"What protein is required for the initiation of transcription from P R ́ in bacteriophage lambda?","The Q protein."
"What is the function of the pQ protein in bacteriophage lambda?","pQ allows initiation of transcription from P R ́."
"What happens to the cI repressor during UV exposure?","Proteases cleave the cI repressor."
"What is induced by the cleavage of the cI repressor?","Expression of immediate early genes."
"What role does the protein N play in gene expression?","N allows expression of delayed early genes."
"What happens to cI repressor produced from P RE during UV exposure?","It is destroyed by proteases."
"What effect does a small amount of cro have on O R and O L?","It binds to O R and O L."
"Which promoters are turned off following cro binding to O R and O L?","P R, P L, and P RE."
"What happens when the synthesis of cI is no longer possible in bacteriophage lambda?","The lytic cycle is initiated."
"What allows the utilization of P R ́ in bacteriophage lambda?","The production of pQ."
"What is the result of transcription from P R ́ in bacteriophage lambda?","Production of structural genes and proteins required for lysis."
"What occurs to the lambda genome during the lytic cycle in E. coli?","The lambda genome excises from the E. coli chromosome."
"What happens to the lambda genome after excision from the E. coli chromosome?","It is replicated and assembled into phage particles."
"What determines whether a bacteriophage lambda infection results in lysis or lysogeny?","Random events and the activity of cII and cIII for lysogeny, cro for lysis"
"What is the effect of cII and cIII activity in bacteriophage lambda infection?","cII and cIII activity leads to lysogeny"
"What is the role of cro activity in bacteriophage lambda infection?","cro activity leads to lysis"
"What characteristic of plaques indicates lysogeny in bacteriophage lambda infections?","Plaques with fuzzy edges due to lysogenic E. coli"
"What are plaques with 'halos' an indication of in bacteriophage lambda infections?","They indicate both lysis and lysogeny"
