Term,Definition
"Why do concentrated alcohols give rise to broad signals in an IR spectrum?","Concentrated alcohols give rise to broad signals because the O-H bonds are weakened to different extents due to varying degrees of hydrogen bonding, resulting in a distribution of bond strengths."
"What is the shape of an OH signal when an alcohol is diluted in a solvent that cannot form hydrogen bonds?","The shape of an OH signal is narrow when the alcohol is diluted in a solvent that cannot form hydrogen bonds."
"What wavenumber range is associated with free O-H bonds in an IR spectrum?","Free O-H bonds generally produce a signal at approximately 3600 cm⁻¹."
"What wavenumber range is associated with O-H bonds participating in hydrogen bonding in an IR spectrum?","O-H bonds participating in hydrogen bonding generally produce a broad signal between 3200 and 3600 cm⁻¹."
"In an IR spectrum, why is the broad signal always to the right of the narrow signal when both are present?","The broad signal is always to the right of the narrow signal because the O-H bonds participating in hydrogen bonding have lower wavenumbers than free O-H bonds."
"What is a characteristic feature of the IR spectrum of carboxylic acids?","A very broad signal extending from 2200 to 3600 cm−1 due to hydrogen bonding."
"Why is the broad signal in carboxylic acids more pronounced than in alcohols?","Because carboxylic acids can form two hydrogen-bonding interactions, resulting in a dimer."
"What wavenumber range does the broad signal of carboxylic acids cover?","2200 to 3600 cm−1."
"What additional signal accompanies the broad signal in the IR spectrum of carboxylic acids?","A broad C=O signal just above 1700 cm−1."
"How can you distinguish the IR spectrum of a carboxylic acid from an alcohol?","By the very broad signal extending over the usual C-H signals and the broad C=O signal above 1700 cm−1."
"What affects the shape of a signal in addition to hydrogen bonding?","The difference in shape of the N-H signals for primary and secondary amines."
"What is the wavenumber range for the primary amine signals?","The primary amine exhibits two signals: one at 3350 cm−1 and the other at 3450 cm−1."
"How many signals does a secondary amine exhibit?","A secondary amine exhibits only one signal."
"Why does a primary amine exhibit two signals?","The appearance of two signals is explained by the two possible ways in which the NH2 group can vibrate: symmetric stretching and asymmetric stretching."
"What is symmetric stretching?","Symmetric stretching is when the N-H bonds stretch in phase with each other."
"What is asymmetric stretching?","Asymmetric stretching is when the N-H bonds stretch out of phase with each other."
"How do symmetric and asymmetric stretching affect IR absorption?","Molecules vibrating symmetrically absorb a particular frequency of IR radiation, while molecules vibrating asymmetrically absorb a different frequency, resulting in two signals."
"What is the first step in analyzing an IR spectrum?","Draw a line at 1500 cm −1 and focus on signals to the left of this line (the diagnostic region)."
"What wavenumber range indicates the presence of double bonds in an IR spectrum?","1600–1850 cm −1"
"What wavenumber range indicates the presence of triple bonds in an IR spectrum?","2100–2300 cm −1"
"What wavenumber range indicates the presence of Z-H bonds in an IR spectrum?","2700–4000 cm −1"
"Why do C-H bonds of a CH3 group give rise to a series of signals in an IR spectrum?","These signals arise from the various ways in which a CH3 group can be excited."
"What should you determine for each IR spectrum in Conceptual Checkpoint 14.10?","Determine whether the IR spectrum is consistent with the structure of a ketone, an alcohol, a carboxylic acid, a primary amine, or a secondary amine."
"Why are there multiple signals just to the right of 3000 cm −1 in the IR spectrum of 2,3-dimethyl-2-butene?","There are twelve C sp3-H bonds, and although they are all identical, the different ways they can be excited result in more than one signal."
"What is the IR frequency range for an anhydride C=O bond?","~1820 and ~1760 cm⁻¹"
"What is the IR frequency for an acid chloride C=O bond?","~1790 cm⁻¹"
"What is the IR frequency for an ester C=O bond?","~1735 cm⁻¹"
"What is the IR frequency for an aldehyde C=O bond?","~1730 cm⁻¹"
"What is the IR frequency for a ketone C=O bond?","~1720 cm⁻¹"
"What is the IR frequency for a carboxylic acid C=O bond?","~1715 cm⁻¹"
"What is the IR frequency for an amide C=O bond?","~1650 cm⁻¹"
"What is the IR frequency range for an O-H single bond?","3200 – 3600 cm⁻¹ (broad)"
"What is the IR frequency range for an N-H single bond?","3350 – 3500 cm⁻¹"
"What is the IR frequency range for a C-H single bond (alkyne)?","∼ 3300 cm⁻¹"
"What is the IR frequency range for a C-H single bond (alkene)?","3000 – 3100 cm⁻¹"
"What is the IR frequency range for a C-H single bond (alkane)?","2850 – 3000 cm⁻¹"
"What is the IR frequency range for a C=C double bond?","1600 – 1700 cm⁻¹"
"What is the IR frequency range for a C≡C triple bond?","2100 – 2200 cm⁻¹"
"What is the IR frequency range for a C≡N triple bond?","2200 – 2300 cm⁻¹"
"What is the IR frequency range for a C-O single bond?","1000 – 1100 cm⁻¹"
"What is the IR frequency range for a C-N single bond?","1000 – 1200 cm⁻¹"
"What is the IR frequency range for a C-Cl bond?","600 – 800 cm⁻¹"
"What is the IR frequency range for a C-Br bond?","500 – 600 cm⁻¹"
"What is the typical wavenumber for carbonyl (C=O) absorption in IR spectroscopy?","Just above 1700 cm−1, depending on the functional group."
"At what wavenumber do anhydrides and acid chlorides absorb in IR spectroscopy?","Around 1800 cm−1."
"What is the approximate wavenumber for amide absorption in IR spectroscopy?","Around 1650 cm−1."
"How does conjugation affect the carbonyl (C=O) absorption frequency?","Conjugation lowers the frequency by approximately 20–40 cm−1."
"What are the three characteristics to analyze for each signal in an IR spectrum?","Wavenumber, intensity, and shape."
"Where do signals for Z-H bonds appear in relation to 3000 cm−1?","To the left of the line at 3000 cm−1."
"What do signals slightly below 3000 cm−1 indicate?","The presence of sp3 C-H bonds."
"What do signals slightly above 3000 cm−1 indicate?","Absorptions due to sp2 C-H bonds, such as those found in alkenes or aromatic rings."
"What is the first step in analyzing an IR spectrum according to the slide?","Draw a line at 1500 cm−1 and focus on the diagnostic region to the left of the line."
"What does the signal at 1650 cm−1 indicate in an IR spectrum?","It is narrow and weak, consistent with a C=C bond."
"What does the signal at 1720 cm−1 indicate in an IR spectrum?","It is broad and strong, consistent with a C=O bond."
"What should you look for after identifying double and triple bonds in an IR spectrum?","Look for Z-H bonds by drawing a line at 3000 cm−1 and identifying any signals to the left of this line."
"What does a signal just above 3000 cm−1 indicate in an IR spectrum?","It indicates a vinylic C-H bond."
"What is the significance of the bump between 3400 and 3500 cm−1 in an IR spectrum?","It is not strong enough to be considered a signal and is often an overtone of the C=O signal."
"What bonds must the compound have according to the diagnostic region in the IR spectrum?","The compound must have C=C, C=O, and vinylic C-H bonds."
"What wavenumber range do ketones typically produce signals in IR spectroscopy?","Approximately 1720 cm−1."
"What wavenumber range do conjugated ketones typically produce signals in IR spectroscopy?","Approximately 1680 cm−1."
"How can you distinguish between a conjugated and non-conjugated compound using IR spectroscopy?","Conjugated compounds produce signals at lower wavenumbers (e.g., 1680 cm−1 for ketones) compared to non-conjugated compounds (e.g., 1720 cm−1 for ketones)."
"What does a C=O signal at 1720 cm−1 in an IR spectrum indicate about the compound?","It indicates that the compound is not conjugated."
"What is the significance of identifying significant signals in an IR spectrum?","It helps in matching compounds with their IR spectra and identifying structural features."
"How can IR spectroscopy be used to distinguish between two compounds?","IR spectroscopy can differentiate compounds by identifying the presence or absence of specific functional group signals in their spectra."
"What signals should be looked for to verify the formation of a product in a reaction using IR spectroscopy?","Look for the absence of an O-H signal and the presence of a C=O signal."
"What is the significance of the double-bond region (1600–1850 cm−1) in IR spectroscopy?","This region can show differences in signal intensity based on the symmetry of C=C bonds, helping to distinguish compounds."
"How does the dipole moment affect IR signals in compounds?","Compounds with a weak dipole moment produce weak IR signals, while those with no dipole moment do not produce signals in certain regions."
"What is a practical method to monitor the progress of a reaction using IR spectroscopy?","Remove a drop of the reaction mixture periodically and analyze it in an IR spectrometer to observe changes in signal intensity."
"What are the steps to distinguish between two compounds using IR spectroscopy?","1. Consider expected signals for each compound. 2. Determine if any signals are present in one but absent in the other. 3. Compare signals for differences in wavenumber, intensity, or shape."
"How can IR spectroscopy be used to monitor the conversion of nitriles to carboxylic acids?","IR spectroscopy can monitor the disappearance of the nitrile C≡N stretch around 2250 cm−1 and the appearance of the carboxylic acid O-H stretch around 2500-3300 cm−1 and C=O stretch around 1700 cm−1."
"What IR signals would indicate the reduction of a ketone by lithium aluminum hydride?","The IR spectrum of the product should show the disappearance of the ketone C=O stretch around 1700 cm−1 and the appearance of an alcohol O-H stretch around 3200-3600 cm−1."
"What are the two products formed when 1-chlorobutane is treated with sodium hydroxide, and how can they be distinguished using IR spectroscopy?","The two products are 1-butanol and butene. 1-butanol will show an O-H stretch around 3200-3600 cm−1, while butene will show a C=C stretch around 1640-1680 cm−1."
"What IR signal difference is expected when a reactant with Csp2-H bonds is converted to a product without these bonds?","The reactant will produce a signal at 3100 cm−1 due to the Csp2-H bonds, which will vanish in the product."
"What is the primary use of mass spectrometry?","Mass spectrometry is primarily used to determine the molecular weight and molecular formula of a compound."
"What is the first step in mass spectrometry?","A compound is vaporized and converted into ions."
"What is the most common ionization technique in mass spectrometry?","Electron impact ionization (EI)."
"What energy do high-energy electrons typically carry in electron impact ionization?","Around 1600 kcal/mol or 70 electron volts (eV)."
"What happens when a high-energy electron strikes a molecule?","It causes one of the electrons in the molecule to be ejected, forming a radical cation."
"Why is the ion generated in electron impact ionization called a radical cation?","It has an unpaired electron and bears a positive charge from losing an electron."
"What is the mass of the radical cation compared to the original molecule?","It is essentially equivalent to the mass of the original molecule."
"What is the symbol for the molecular ion or parent ion?","(M)+•"
"What often happens to the molecular ion in mass spectrometry?","It is unstable and susceptible to fragmentation, generating distinct fragments."
"How are ions separated in a mass spectrometer?","They are accelerated and sent through a magnetic field, where they are deflected based on their mass-to-charge ratio (m/z)."
"What does the mass spectrum plot show?","The relative abundance of each cation detected."
"What are some major applications of mass spectrometry in the pharmaceutical industry?","Drug discovery, drug metabolism, and reaction monitoring."
"How is mass spectrometry used in biotechnology?","For amino acid sequencing and analysis of macromolecules."
"What are the clinical applications of mass spectrometry?","Neonatal screening and hemoglobin analysis."
"In what ways is mass spectrometry applied in the environmental industry?","Drug testing, water quality testing, and contamination level measurements in food."
"How does the geological industry use mass spectrometry?","For the evaluation of oil compositions."
"What is the forensic application of mass spectrometry mentioned in the text?","Explosive detection."
"What specialized type of mass spectrometer is used for detecting explosives at airports?","Ion mobility spectrometers."
"How do ion mobility spectrometers detect explosives?","They collect chemicals from luggage surfaces, convert them into ions, and measure ion speeds through an electric field to detect explosives."
"What is the base peak in a mass spectrum?","The tallest peak in the spectrum, assigned a relative value of 100%."
"In the mass spectrum of methane, what does the peak at m/z = 16 represent?","The molecular ion of methane."
"What does the peak at m/z = 15 in the methane mass spectrum indicate?","A carbocation fragment formed by the loss of a hydrogen atom."
"Why is there a peak at m/z = 17 in the methane mass spectrum?","It is the (M + 1) + • peak, which will be discussed in more detail in Section 14.10."
"What does the (M) + • peak indicate in a mass spectrum?","The (M) + • peak indicates the molecular weight of the molecule."
"Why is the (M) + • peak the base peak in some compounds?","For some compounds, the (M) + • peak is the base peak because the molecular ion is not very susceptible to fragmentation."
"What is the m/z value of the (M) + • peak for benzene?","The m/z value of the (M) + • peak for benzene is 78."
"What is the m/z value of the (M) + • peak for pentane?","The m/z value of the (M) + • peak for pentane is 72."
"Why might the (M) + • peak be absent in some mass spectra?","The (M) + • peak might be absent if the molecular ion is particularly susceptible to fragmentation."
"What is the base peak in the mass spectrum of pentane?","The base peak in the mass spectrum of pentane is the fragment at m/z = 43."
"What alternative ionization method is mentioned for preserving the parent ion?","Desorption electrospray ionization (DESI) is mentioned as an alternative method to preserve the parent ion."
"What is the molecular weight of pentane?","The molecular weight of pentane is 72."
"What is the molecular weight of 1-pentene?","The molecular weight of 1-pentene is 70."
"How does DESI work in explosive detection?","DESI works by spraying a gaseous mixture on a surface to dislodge residual compounds, which are then analyzed by a mass spectrometer."
"What is the expected m/z value for the molecular ion peak of pentane?","72"
"What is the expected m/z value for the molecular ion peak of 1-pentene?","70"
"What does an odd molecular weight generally indicate in mass spectrometry?","An odd number of nitrogen atoms in the compound."
"What does an even molecular weight indicate according to the nitrogen rule?","Either the absence of nitrogen or an even number of nitrogen atoms."
"What is the molecular weight of NH2 and what does it indicate?","MW = 73, indicating 1 nitrogen atom."
"What is the molecular weight of a compound with 0 nitrogen atoms?","MW = 72"
"What is the molecular weight of H2N-NH2 and what does it indicate?","MW = 74, indicating 2 nitrogen atoms."
"What is the most abundant isotope of carbon?","12C, constituting 98.9% of all carbon atoms."
"What percentage of carbon atoms is constituted by 13C?","Approximately 1.1%."
"How does the (M + 1) + • peak relate to the number of carbon atoms in a compound?","The peak is larger in compounds with more carbon atoms, as the likelihood of containing a 13C atom increases."
"What is the relative height of the (M + 1) + • peak in the mass spectrum of decane?","11% as tall as the molecular ion peak."
"What is the relative height of the (M + 1) + • peak in the mass spectrum of icosane?","22% as tall as the molecular ion peak."
"Which isotope is the greatest contributor to the (M + 1) + • peak?","13C"
"How can the number of carbon atoms in an unknown compound be determined using mass spectrometry?","By comparing the relative heights of the (M) + • peak and the (M + 1) + • peak."
"What is the molecular ion peak m/z value for the unknown compound?","86"
"What is the relative abundance of the (M+1)+• peak?","1.2%"
"What is the base peak m/z value and its relative abundance?","m/z = 43, relative abundance = 100%"
"How do you calculate the relative height of the (M+1)+• peak compared to the molecular ion peak?","Divide the relative height of the (M+1)+• peak by the relative height of the molecular ion peak and multiply by 100%."
"What percentage does each carbon atom contribute to the height of the (M+1)+• peak?","1.1%"
"How many carbon atoms are suggested by the analysis?","5 carbon atoms"
"What is the total mass contributed by the carbon atoms in the compound?","60 (5 carbon atoms x 12 each)"
"What is the remaining mass that must be accounted for by other elements?","26 (86 total - 60 from carbon)"
"What is the proposed molecular formula for the compound?","C5H10O"
"Why can't the molecular formula be C5H26?","A compound with five carbon atoms cannot have that many hydrogen atoms."
"Why is nitrogen ruled out as a possible element in the compound?","Including nitrogen would result in an odd molecular weight, which is not the case here."
"What is the molecular formula for a compound with a mass spectrum peak (M)+• at m/z = 72 and a relative height of 38.3% of the base peak?","The molecular formula could be C5H12."
"What is the molecular formula for a compound with a mass spectrum peak (M)+• at m/z = 68 and a relative height of 100% (base peak)?","The molecular formula could be C4H8O."
"What is the molecular formula for a compound with a mass spectrum peak (M)+• at m/z = 54 and a relative height of 100% (base peak)?","The molecular formula could be C4H6."
"What is the molecular formula for a compound with a mass spectrum peak (M)+• at m/z = 96 and a relative height of 19.0% of the base peak?","The molecular formula could be C6H12O."
"What is the significance of a strong (M + 2)+• peak in a mass spectrum?","A strong (M + 2)+• peak indicates the presence of chlorine or bromine in the compound."
"What are the two major isotopes of chlorine and their natural abundances?","The two major isotopes of chlorine are 35Cl (75.8%) and 37Cl (24.2%)."
"What are the two isotopes of bromine and their natural abundances?","The two isotopes of bromine are 79Br (50.7%) and 81Br (49.3%)."
"How can you identify the presence of bromine in a compound using mass spectrometry?","The presence of bromine is indicated by a characteristic peak at (M + 2) that is approximately the same height as the molecular ion peak."
"In the mass spectrum of bromobenzene, the base peak appears at m/z = 77. Does this fragment contain Br?","No, the fragment does not contain Br. The base peak at m/z = 77 corresponds to the phenyl cation, which is C6H5+."
"Draw the cationic fragment that accounts for the base peak at m/z = 77 in the mass spectrum of bromobenzene.","The cationic fragment is the phenyl cation: C6H5+."
"What is the significance of fragmentation patterns in mass spectrometry?","Fragmentation patterns are helpful in identifying certain structural features of a compound, but they generally cannot determine the entire structure of the compound."
"How does the molecular ion of pentane fragment?","The molecular ion of pentane can fragment in several ways, producing different cations: (M–15), (M–29), (M–43), and (M–57), corresponding to different carbocation structures."
"What are the possible cations resulting from the fragmentation of pentane?","The possible cations are: CH3CH2CH2CH2+, CH3CH2CH2+, CH3CH2+, and CH3+."
"What type of fragments does mass spectrometry detect?","Mass spectrometry detects ions, not radical fragments."
"What is the mass of a methyl radical?","The mass of a methyl radical is 15."
"What peak appears when a methyl radical is lost from the parent molecular ion?","A peak appears at M − 15."
"What is the mass of an ethyl radical?","The mass of an ethyl radical is 29."
"What peak appears when an ethyl radical is lost?","A peak appears at M − 29."
"What are the masses of propyl and butyl radicals?","The mass of a propyl radical is 43, and the mass of a butyl radical is 57."
"What is the general trend in mass spectra of most compounds?","There are many different possible fragments, each giving rise to a group of peaks."
"What is icosane?","Icosane is a straight-chain hydrocarbon consisting of 20 carbon atoms connected by 19 C-C bonds."
"How many possible carbocations appear in the mass spectrum of icosane?","There are 19 possible carbocations."
"What does a signal at M − 15 indicate?","It indicates the loss of a methyl group."
"What does a signal at M − 29 indicate?","It indicates the loss of an ethyl group."
