Term,Definition
"What process facilitates the removal of filamentous spike proteins in adenovirus entry?","Acidification of endosome"
"What viral component is exposed to the acidic environment during adenovirus entry?","Viral L3 protease"
"What is the result of L3 protease activation in adenovirus entry?","Cleavage of protein VI"
"What coincides with the disruption of the endosomal membrane in adenovirus entry?","Cleavage of protein VI"
"What is released to the cytosol during adenovirus entry?","Partially disassembled capsid"
"What associates with microfilaments during the entry of a non-enveloped virus?","Remnants of capsid"
"Which histone protein associates with the capsid and contains a nuclear localization signal?","Histone protein H1"
"What role does the nuclear localization signal play in the entry of a non-enveloped virus?","Facilitates delivery of capsid to nuclear pore"
"What facilitates the delivery of the viral genome to the nucleus in a non-enveloped virus?","Association of capsid with nuclear pore"
"What process begins after the viral genome is delivered to the nucleus?","Viral transcription"
"What process allows certain picornaviruses to introduce RNP into the cytosol?","Formation of a pore in the endosome membrane"
"Which viral capsid proteins undergo a conformational shift to insert into the endosome membrane?","VP1 and VP4"
"What environmental condition affects the insertion of viral proteins into the endosome membrane?","pH dependent"
"At what temperature is the poliovirus capable of replication without a detectable pore?","25°C"
"What cellular process is required for the uncoating of certain viruses like Reoviruses?","Endosome/lysosome fusion"
"Which proteins primarily compose the outer coat of the Reovirus capsid?","s s s s 3 and m m m m 1"
"What is the role of lysosomal proteases in the uncoating of Reoviruses?","They partially degrade the outer coat, facilitating the release of s s s s 3."
"What happens to the m m m m 1 protein during the uncoating of Reoviruses?","It remains associated with the outer coat and assumes a filamentous form."
"Does the uncoating of Reoviruses require acidification of the endosome?","No, it does not require acidification."
"What host cell chaperone does HIV1 package in its mature particle?","Cyclophilin A"
"What is the role of Cyclophilin A in the HIV1 life cycle?","It is believed to be essential for uncoating following fusion of virus and cellular membranes."
"What happens to HIV1 particles deficient in Cyclophilin A?","They never fully uncoat."
"What process does membrane fusion facilitate in the HIV1 life cycle?","Release of some capsid protein (CA)."
"What is the function of a nuclear localization signal (NLS) in viral genomes?","To facilitate the transport of the viral genome to the nucleus for gene expression."
"What is a characteristic feature of a simple nuclear localization signal (NLS)?","A stretch of basic amino acids flanked by hydrophobic amino acids."
"How does a bipartite nuclear localization signal (NLS) differ from a simple NLS?","It has two stretches of basic amino acids separated by a variable length stretch of random amino acids."
"Which viral protein is known to have a nuclear localization signal (NLS) on its RNP?","SV40 T antigen."
"What do some viruses rely on for nuclear import if they lack their own NLS?","NLS or signals of host cell proteins."
"What binds to importin-alpha to initiate nuclear import?","Nuclear Localization Signal (NLS)"
"Which protein facilitates the interaction between importin-alpha and the nuclear pore?","Importin-beta"
"What small G-protein is essential for transport across the nuclear membrane?","Ran-GDP"
"What is the function of Rcc1 in the nucleus?","Converts Ran-GDP to Ran-GTP"
"What role does Ran-GTP play in nuclear transport?","Facilitates nuclear export"
"What is the role of RanGAP1/RanBPI-2 in nuclear import?","It facilitates the hydrolysis of GTP bound by Ran."
"What happens when Ran-GTP undergoes hydrolysis in the cytoplasm?","It results in the dissociation of the nuclear export complex."
"How does the Ran-GTP/export complex move to the cytoplasm?","It translocates via the nuclear pore."
"What cellular structure does the adenovirus capsid associate with after release from the endosome?","Microfilaments"
"What protein binds to hexons on the adenovirus capsid to provide a nuclear localization signal?","H1"
"What complex facilitates the docking of the adenovirus capsid with the nucleus?","CAN/Nup214 complex"
"Where is the viral genome delivered after the adenovirus capsid docks with the nucleus?","To the nucleus"
"What enzyme converts retroviral genomes to double-stranded DNA?","Viral reverse transcriptase (RT)"
"Which viral protein remains associated with the retroviral genome during nuclear import?","Integrase (Int)"
"What is suggested to be essential for the translocation of retroviral dsDNA to the nucleus in some species?","Dissolution of the nuclear membrane"
"What allows some retroviral species to integrate into non-dividing cells?","Integrase (Int) has a Nuclear Localization Signal (NLS) or associates with a host protein containing NLS"
"What is associated with the influenza virus genome for nuclear import?","Nucleoprotein (NP)"
"What does NP possess that is necessary for the translocation of the influenza viral genome to the nucleus?","Nuclear Localization Signal (NLS)"
"What is necessary and sufficient for the translocation of the influenza viral genome to the nucleus?","Nuclear Localization Signal (NLS)"
